染色		{'dyeing':1.0}	{'dyeing': 3684}	dyeing
网络层次分析法		{'analytic network process':1.0}	{'analytic network process': 7}	analytic network process
蒙特卡罗方法	{'蒙特卡罗方法':0.66667,'MonteCarlo方法':0.33333}	{'monte carlo method':1.0}	{'monte carlo method': 106}	monte carlo method
PO封端		{'po terminated':0.5,'end-capping with po':0.5}	{'po terminated': 0, 'end-capping with po': 0}	po terminated
斜裁角度		{'bias-cutting angels':1.0}	{'bias-cutting angels': 0}	bias-cutting angels
液压支架		{'hydraulic support':1.0}	{'hydraulic support': 0}	hydraulic support
手排法		{'hand row method':1.0}	{'hand row method': 0}	hand row method
凹凸罗拉		{'embossed roller':1.0}	{'embossed roller': 0}	embossed roller
绢纺原料		{'waste silk':1.0}	{'waste silk': 6}	waste silk
锌离子电池		{'zinc ion battery':1.0}	{'zinc ion battery': 27}	zinc ion battery
商标布	{'商标织物':0.5,'商标布':0.5}	{'trademark fabric':1.0}	{'trademark fabric': 0}	trademark fabric
圆头锁眼机		{'eyelet buttonhole sewing machine':1.0}	{'eyelet buttonhole sewing machine': 0}	eyelet buttonhole sewing machine
相对总变差模型		{'relative total variation model':1.0}	{'relative total variation model': 0}	relative total variation model
Porel纤维		{'porel fiber':0.6,'porel~ fiber':0.4}	{'porel\ue3eb fiber': 0, 'porel~\ue3eb fiber': 0}	porel fiber
矩阵变换		{'matrix transform':1.0}	{'matrix transform': 0}	matrix transform
二硫代焦磷酸酯		{'bisneopentyl glycol dithiopyrophosphate':1.0}	{'bisneopentyl glycol dithiopyrophosphate': 3}	bisneopentyl glycol dithiopyrophosphate
樟树叶		{'camphor leaves':1.0}	{'camphor leaves': 0}	camphor leaves
惯性载荷		{'inertial load':0.6,'inertia loading':0.4}	{'inertial load': 0, 'inertia loading': 0}	inertial load
水解动力学		{'hydrolysis kinetics':1.0}	{'hydrolysis kinetics': 26}	hydrolysis kinetics
有限单元法	{'有限元法':0.525,'有限元方法':0.225,'有限元':0.15,'有限单元法':0.1}	{'finite element method':1.0}	{'finite element method': 1010}	finite element method
布匹疵点检测	{'织物疵点检测':0.44068,'布匹瑕疵检测':0.16949,'疵点检测':0.11864,'织物缺陷检测':0.10169,'织物瑕疵检测':0.10169,'布匹疵点检测':0.0678}	{'fabric defect detection':1.0}	{'fabric defect detection': 107}	fabric defect detection
埃塞俄比亚		{'ethiopia':1.0}	{'ethiopia': 16}	ethiopia
距离松量		{'distance ease':1.0}	{'distance ease': 8}	distance ease
仿生纺织品		{'bionic textiles':1.0}	{'bionic textiles': 0}	bionic textiles
生物电信号		{'bioelectrical signal':1.0}	{'bioelectrical signal': 0}	bioelectrical signal
气圈张力		{'balloon tension':1.0}	{'balloon tension': 0}	balloon tension
专创融合		{'specialization and innovation integration':1.0}	{'specialization and innovation integration': 0}	specialization and innovation integration
蛹蛋白粘胶长丝		{'ppv':1.0}	{'ppv': 6}	ppv
汉派服装		{'han faction costume':1.0}	{'han faction costume': 0}	han faction costume
色纺织物		{'colored spun fabric':1.0}	{'colored spun fabric': 12}	colored spun fabric
丝绒织物	{'丝绒织物':0.42857,'天鹅绒面料':0.28571,'绒类织物':0.28571}	{'velvet fabric':1.0}	{'velvet fabric': 5}	velvet fabric
多属性决策		{'multi-attribute decision making':0.6,'multi-attribute decision-making':0.4}	{'multi-attribute decision making': 0, 'multi-attribute decision-making': 0}	multi-attribute decision making
精微绣		{'subtle embroidery':0.6,'fine embroidery':0.4}	{'subtle embroidery': 0, 'fine embroidery': 0}	subtle embroidery
白马藏族		{'baima tibetan':1.0}	{'baima tibetan': 0}	baima tibetan
聚丙烯腈预氧化纤维		{'panof':1.0}	{'panof': 0}	panof
人工韧带		{'artificial ligament':1.0}	{'artificial ligament': 11}	artificial ligament
废弃纤维		{'waste fiber':1.0}	{'waste fiber': 0}	waste fiber
开关磁阻电机		{'switched reluctance motor':1.0}	{'switched reluctance motor': 0}	switched reluctance motor
曲面展开	{'曲面展开':0.71428,'曲面展平':0.28572}	{'surface development':0.6,'surface flattening':0.4}	{'surface flattening': 13, 'surface development': 5}	surface development
体表画线法		{'lineation-on-body method':1.0}	{'lineation-on-body method': 0}	lineation-on-body method
蒸汽熨烫		{'steam ironing':1.0}	{'steam ironing': 4}	steam ironing
海派文化		{'shanghai culture':1.0}	{'shanghai culture': 0}	shanghai culture
聚丙烯(PP)		{'polypropylene(pp)':1.0}	{'polypropylene(pp)': 0}	polypropylene(pp)
防晒服装		{'uv-protection clothes':1.0}	{'uv-protection clothes': 0}	uv-protection clothes
多层机织物		{'multi-layer woven fabric':1.0}	{'multi-layer woven fabric': 0}	multi-layer woven fabric
多色经		{'multi-warp':1.0}	{'multi-warp': 0}	multi-warp
滑溜率	{'纰裂':0.4,'滑溜率':0.2,'滑落':0.13333,'滑溜':0.13333,'滑移':0.13333}	{'slippage':1.0}	{'slippage': 41}	slippage
亲子装	{'亲子装':0.66666,'亲子服装':0.16667,'亲子服饰':0.16667}	{'parent-child clothing':0.5,'parent-child outfit':0.5}	{'parent-child clothing': 0, 'parent-child outfit': 0}	parent-child clothing
莲花纹样	{'莲花纹样':0.42857,'莲花纹':0.28571,'莲纹':0.28571}	{'lotus pattern':1.0}	{'lotus pattern': 0}	lotus pattern
海斯摩尔纤维		{'hismer fiber':1.0}	{'hismer fiber': 0}	hismer fiber
石墨烯改性涤纶		{'graphene modified polyester':1.0}	{'graphene modified polyester': 0}	graphene modified polyester
电晕充电	{'电晕充电':0.66667,'电晕驻极':0.33333}	{'corona charging':1.0}	{'corona charging': 11}	corona charging
玉米苞叶		{'corn husk':0.6,'corn bract':0.4}	{'corn husk': 10, 'corn bract': 0}	corn husk
中式婚礼服	{'中式婚礼服':0.5,'中式婚服':0.3,'中式嫁衣':0.2}	{'chinese wedding dress':1.0}	{'chinese wedding dress': 0}	chinese wedding dress
陵阳公样		{'lingyanggong pattern':1.0}	{'lingyanggong pattern': 3}	lingyanggong pattern
CVC织物		{'cvc fabric':1.0}	{'cvc fabric': 0}	cvc fabric
管状复合材料		{'tubular composite':1.0}	{'tubular composite': 0}	tubular composite
定位图案		{'positioning pattern':1.0}	{'positioning pattern': 0}	positioning pattern
涤氨织物		{'polyester and spandex fabric':1.0}	{'polyester and spandex fabric': 0}	polyester and spandex fabric
三元共聚嵌段硅油		{'terpolymer block silicone oil':0.6,'terpolymer block silicone':0.4}	{'terpolymer block silicone oil': 0, 'terpolymer block silicone': 0}	terpolymer block silicone oil
工业碳足迹		{'industrial carbon footprint':1.0}	{'industrial carbon footprint': 0}	industrial carbon footprint
葡萄籽提取物		{'grape seed extract':1.0}	{'grape seed extract': 8}	grape seed extract
工程图学		{'engineering graphics':1.0}	{'engineering graphics': 0}	engineering graphics
包覆技术	{'涂层技术':0.5,'包覆技术':0.33333,'涂层工艺':0.16667}	{'coating technology':1.0}	{'coating technology': 0}	coating technology
木薯蚕丝		{'cassava silk':1.0}	{'cassava silk': 3}	cassava silk
A字裙		{'a-line skirt':1.0}	{'a-line skirt': 0}	a-line skirt
撇胸		{'chest skimming':1.0}	{'chest skimming': 0}	chest skimming
服务设计		{'service design':1.0}	{'service design': 0}	service design
神经导管		{'nerve conduit':1.0}	{'nerve conduit': 0}	nerve conduit
移动机器人		{'mobile robot':1.0}	{'mobile robot': 0}	mobile robot
莨绸		{'gambiered canton silk':1.0}	{'gambiered canton silk': 0}	gambiered canton silk
竹编工艺		{'bamboo-weaving craft':1.0}	{'bamboo-weaving craft': 0}	bamboo-weaving craft
连翻领		{'overturned collar':1.0}	{'overturned collar': 0}	overturned collar
成分标签		{'content label':1.0}	{'content label': 0}	content label
食用色素		{'edible pigment':1.0}	{'edible pigment': 0}	edible pigment
分散液液微萃取		{'dispersive liquid-liquid micro-extraction':1.0}	{'dispersive liquid-liquid micro-extraction': 0}	dispersive liquid-liquid micro-extraction
碳量子点		{'carbon quantum dots':1.0}	{'carbon quantum dots': 308}	carbon quantum dots
三维展示		{'3d display':1.0}	{'3d display': 0}	3d display
干湿法纺丝		{'dry-wet spinning':1.0}	{'dry-wet spinning': 8}	dry-wet spinning
纱线疵点	{'纱疵':0.9375,'纱线疵点':0.0625}	{'yarn defect':1.0}	{'yarn defect': 5}	yarn defect
救生衣		{'life jacket':0.5,'lifejacket':0.5}	{'life jacket': 0, 'lifejacket': 0}	life jacket
织金锦		{'woven gold brocade':0.5,'gold brocade':0.5}	{'woven gold brocade': 0, 'gold brocade': 0}	woven gold brocade
无盐低碱染色		{'salt-free and low alkaline dyeing':1.0}	{'salt-free and low alkaline dyeing': 0}	salt-free and low alkaline dyeing
刚柔耦合		{'rigid-flexible coupling':1.0}	{'rigid-flexible coupling': 0}	rigid-flexible coupling
呼吸监测		{'respiratory monitoring':1.0}	{'respiratory monitoring': 13}	respiratory monitoring
聚酯工业丝	{'涤纶工业丝':0.71429,'聚酯工业丝':0.28571}	{'polyester industrial yarn':1.0}	{'polyester industrial yarn': 3}	polyester industrial yarn
商陆		{'phytolacca':1.0}	{'phytolacca': 0}	phytolacca
非织造物	{'非织造布':0.58889,'无纺布':0.27778,'非织造织物':0.06667,'非织造材料':0.04444,'非织造物':0.02222}	{'non-woven fabric':1.0}	{'non-woven fabric': 40}	non-woven fabric
低尿素		{'low urea':1.0}	{'low urea': 0}	low urea
京尼平		{'genipin':1.0}	{'genipin': 84}	genipin
织物结构与设计		{'fabric structure and design':1.0}	{'fabric structure and design': 0}	fabric structure and design
动态水分传递法		{'moisture management tests':1.0}	{'moisture management tests': 0}	moisture management tests
旋流器		{'cyclone':1.0}	{'cyclone': 6}	cyclone
轮廓检测		{'contour detection':1.0}	{'contour detection': 4}	contour detection
连续化练漂机		{'continuous scouring and bleaching machine':0.5,'continuous bleaching machine':0.5}	{'continuous scouring and bleaching machine': 0, 'continuous bleaching machine': 0}	continuous scouring and bleaching machine
协同过滤		{'collaborative filtering':1.0}	{'collaborative filtering': 3}	collaborative filtering
纺纱学	{'纺纱':0.81911,'纺丝':0.08943,'细纱':0.0813,'细纱机':0.01016}	{'spinning':1.0}	{'spinning': 855}	spinning
海岛丝		{'islands-in-the-sea fiber':0.5,'sea-island filament':0.5}	{'islands-in-the-sea fiber': 0, 'sea-island filament': 0}	islands-in-the-sea fiber
VR技术		{'vr technology':1.0}	{'vr technology': 0}	vr technology
鲁绣		{'lu embroidery':1.0}	{'lu embroidery': 0}	lu embroidery
中年女性		{'middle-aged woman':0.5,'middle-aged women':0.5}	{'middle-aged women': 10, 'middle-aged woman': 0}	middle-aged woman
平面艺术设计		{'graphic art design':1.0}	{'graphic art design': 0}	graphic art design
极限学习机		{'extreme learning machine':1.0}	{'extreme learning machine': 21}	extreme learning machine
连续玄武岩纤维		{'continuous basalt fiber':1.0}	{'continuous basalt fiber': 3}	continuous basalt fiber
碳纤维增强复合材料		{'carbon fiber reinforced composite':0.5,'carbon fiber reinforced composites':0.5}	{'carbon fiber reinforced composite': 35, 'carbon fiber reinforced composites': 8}	carbon fiber reinforced composite
成纱熵变		{'texturing entropy changing':1.0}	{'texturing entropy changing': 0}	texturing entropy changing
润湿梯度		{'wetting gradient':1.0}	{'wetting gradient': 0}	wetting gradient
水劣化足迹		{'water degradation footprint':1.0}	{'water degradation footprint': 0}	water degradation footprint
目测评级		{'visual rating':1.0}	{'visual rating': 0}	visual rating
表面电势	{'表面电势':0.71429,'表面电位':0.28571}	{'surface potential':1.0}	{'surface potential': 178}	surface potential
压电薄膜		{'piezoelectric film':1.0}	{'piezoelectric film': 9}	piezoelectric film
省量分配		{'dart distribution':1.0}	{'dart distribution': 0}	dart distribution
有机氟硅		{'organic fluorosilicon':1.0}	{'organic fluorosilicon': 0}	organic fluorosilicon
针织松紧带		{'knitted elastic ribbon':1.0}	{'knitted elastic ribbon': 0}	knitted elastic ribbon
喷射打印	{'喷射印花':0.69231,'喷射打印':0.19231,'喷墨印花':0.11538}	{'jet printing':1.0}	{'jet printing': 11}	jet printing
交织粘扣带		{'interwoven velcro':1.0}	{'interwoven velcro': 0}	interwoven velcro
羟丙基-β-环糊精		{'hydroxypropyl-β-cyclodextrin':1.0}	{'hydroxypropyl-β-cyclodextrin': 36}	hydroxypropyl-β-cyclodextrin
水热碳化		{'hydrothermal carbonization':1.0}	{'hydrothermal carbonization': 140}	hydrothermal carbonization
汉密尔顿指数		{'hamilton index':1.0}	{'hamilton index': 3}	hamilton index
灰色近优法		{'grey near-optimal method':1.0}	{'grey near-optimal method': 0}	grey near-optimal method
玻璃微珠		{'glass beads':1.0}	{'glass beads': 9}	glass beads
毡缩球密度		{'felting ball density':1.0}	{'felting ball density': 0}	felting ball density
呼气阻力		{'expiratory resistance':1.0}	{'expiratory resistance': 0}	expiratory resistance
电磁选针器		{'electro-magnetic needle selector':0.5,'electromagnetic needle selector':0.5}	{'electro-magnetic needle selector': 0, 'electromagnetic needle selector': 0}	electro-magnetic needle selector
弹力竹节纱		{'elastic slub yarn':1.0}	{'elastic slub yarn': 0}	elastic slub yarn
圆盘式旋流纺		{'disc swirl spinning':1.0}	{'disc swirl spinning': 0}	disc swirl spinning
碳点		{'carbon dots':0.5,'carbon dot':0.5}	{'carbon dots': 557, 'carbon dot': 50}	carbon dots
相机标定	{'相机标定':0.55556,'摄像机标定':0.44444}	{'camera calibration':1.0}	{'camera calibration': 6}	camera calibration
嵌段聚醚氨基硅油		{'block polyether amino silicone oil':1.0}	{'block polyether amino silicone oil': 0}	block polyether amino silicone oil
仿生矿化		{'biomimetic mineralization':1.0}	{'biomimetic mineralization': 60}	biomimetic mineralization
条并卷联合机	{'条并卷机':0.72727,'条并卷联合机':0.27273}	{'draw frame and lap machine combined':1.0}	{'draw frame and lap machine combined': 0}	draw frame and lap machine combined
扭转性能		{'torsion property':1.0}	{'torsion property': 0}	torsion property
蒙古袍		{'mongolian robe':1.0}	{'mongolian robe': 0}	mongolian robe
异经异纬		{'different warp and weft':1.0}	{'different warp and weft': 0}	different warp and weft
燃煤锅炉		{'coal-fired boiler':1.0}	{'coal-fired boiler': 0}	coal-fired boiler
毛细管电泳		{'capillary electrophoresis':1.0}	{'capillary electrophoresis': 79}	capillary electrophoresis
旧衣回收		{'used clothes recycling':1.0}	{'used clothes recycling': 0}	used clothes recycling
球化退火		{'ball annealing':1.0}	{'ball annealing': 0}	ball annealing
摩擦纺纱	{'摩擦纺':0.5,'摩擦纺纱':0.5}	{'friction spinning':1.0}	{'friction spinning': 62}	friction spinning
田菁胶		{'sesbania gum':1.0}	{'sesbania gum': 5}	sesbania gum
热塑复合材料	{'热塑复合材料':0.57143,'热塑性复合材料':0.42857}	{'thermoplastic composite':1.0}	{'thermoplastic composite': 83}	thermoplastic composite
夏布绣	{'夏布绣':0.6,'夏布绣艺术':0.4}	{'grass cloth embroidery':1.0}	{'grass cloth embroidery': 0}	grass cloth embroidery
热蓄积		{'stored thermal energy':1.0}	{'stored thermal energy': 6}	stored thermal energy
龙须草		{'eulaliopsis binata':1.0}	{'eulaliopsis binata': 3}	eulaliopsis binata
瞬时聚合		{'instant polymerization':1.0}	{'instant polymerization': 0}	instant polymerization
谐响应分析		{'harmonic response analysis':1.0}	{'harmonic response analysis': 0}	harmonic response analysis
金纳米粒子		{'gold nanoparticles':1.0}	{'gold nanoparticles': 1756}	gold nanoparticles
毛皮服装		{'fur garment':1.0}	{'fur garment': 0}	fur garment
成型性能	{'成形性':0.42105,'成型性':0.36842,'可成形性':0.10526,'成型性能':0.10526}	{'formability':1.0}	{'formability': 74}	formability
扁平丝		{'flat filament':1.0}	{'flat filament': 0}	flat filament
心电图		{'electrocardiogram':1.0}	{'electrocardiogram': 10}	electrocardiogram
结晶紫内酯		{'crystal violet lactone':1.0}	{'crystal violet lactone': 16}	crystal violet lactone
喂棉箱		{'chute feeder':1.0}	{'chute feeder': 0}	chute feeder
三维动作捕捉		{'3-d motion capture':0.6,'3d motion capture':0.4}	{'3-d motion capture': 3, '3d motion capture': 3}	3-d motion capture
复配增效		{'compound synergies':1.0}	{'compound synergies': 0}	compound synergies
狐狸绒		{'fox hair':0.5,'fox cashmere':0.5}	{'fox hair': 0, 'fox cashmere': 0}	fox hair
层压板	{'层压板':0.66667,'层压':0.33333}	{'laminate':1.0}	{'laminate': 41}	laminate
层间断裂韧性		{'interlaminar fracture toughness':1.0}	{'interlaminar fracture toughness': 14}	interlaminar fracture toughness
学生装	{'校服':0.8,'制式校服':0.1,'学生装':0.1}	{'school uniform':1.0}	{'school uniform': 7}	school uniform
针织衬衫		{'knitted shirts':0.5,'knitted shirt':0.5}	{'knitted shirts': 0, 'knitted shirt': 0}	knitted shirts
水溶性染料		{'water-soluble dyes':1.0}	{'water-soluble dyes': 3}	water-soluble dyes
集棉器	{'集合器':0.51,'集棉器':0.49}	{'collector':0.6,'condenser':0.4}	{'collector': 16, 'condenser': 6}	collector
ε-聚赖氨酸		{'ε-polylysine':0.6,'ε-poly-l-lysine':0.4}	{'ε-poly-l-lysine': 12, 'ε-polylysine': 10}	ε-polylysine
超临界水氧化		{'supercritical water oxidation':1.0}	{'supercritical water oxidation': 25}	supercritical water oxidation
塑身裤		{'shaping pants':1.0}	{'shaping pants': 0}	shaping pants
单壁碳纳米管		{'single-walled carbon nanotubes':1.0}	{'single-walled carbon nanotubes': 116}	single-walled carbon nanotubes
Outlast粘胶纤维		{'outlast viscose fiber':1.0}	{'outlast viscose fiber': 0}	outlast viscose fiber
超双疏		{'superamphiphobic property':0.5,'superamphiphobic':0.5}	{'superamphiphobic': 37, 'superamphiphobic property': 0}	superamphiphobic property
